person,image_path,image_name,edge_density,brightness,blur_level,hist_red_0,hist_red_1,hist_red_2,hist_red_3,hist_red_4,hist_red_5,hist_red_6,hist_red_7,hist_green_0,hist_green_1,hist_green_2,hist_green_3,hist_green_4,hist_green_5,hist_green_6,hist_green_7,hist_blue_0,hist_blue_1,hist_blue_2,hist_blue_3,hist_blue_4,hist_blue_5,hist_blue_6,hist_blue_7
Kerie,image_data/Kerie\Kerie_neutral.jpeg,Kerie_neutral.jpeg,0.6216372459614382,128.812954338197,49.752893143149265,488751.0,1411885.0,908278.0,362318.0,147627.0,274564.0,1018168.0,301049.0,246805.0,1426905.0,459594.0,454800.0,640405.0,140658.0,648744.0,894729.0,167536.0,1194504.0,390108.0,296450.0,464885.0,697671.0,820920.0,880566.0
Kerie,image_data/Kerie\Kerie_smiling.jpeg,Kerie_smiling.jpeg,0.4557946440203231,127.57452856305368,35.773220507201025,634973.0,1257018.0,904656.0,270418.0,152901.0,396240.0,1193756.0,102678.0,317230.0,1323298.0,440970.0,563462.0,460657.0,275736.0,878002.0,653285.0,208851.0,1136395.0,360280.0,285834.0,725112.0,505707.0,789085.0,901376.0
Kerie,image_data/Kerie\Kerie_suprised.jpeg,Kerie_suprised.jpeg,0.6109963278400209,133.2088249902293,36.35833136546591,471827.0,1352846.0,828610.0,481621.0,126222.0,305582.0,1017002.0,328930.0,197361.0,1355267.0,476535.0,411176.0,721630.0,133975.0,671456.0,945240.0,85106.0,1144600.0,365284.0,323517.0,396595.0,851317.0,756581.0,989640.0
Kerie,augmented_images_Kerie\Kerie_neutral_blur.jpg,Kerie_neutral_blur.jpg,0.16703646104742054,128.81074473195676,3.4365357525164804,469905.0,1446787.0,906045.0,348545.0,148844.0,274024.0,1025804.0,292686.0,220580.0,1469337.0,443020.0,453780.0,643391.0,138628.0,650876.0,893028.0,150101.0,1236712.0,364960.0,296748.0,464106.0,699755.0,823076.0,877182.0
Kerie,augmented_images_Kerie\Kerie_neutral_bright.jpg,Kerie_neutral_bright.jpg,0.620339573019802,165.42427269248307,48.3450157130054,149.0,279812.0,1357042.0,862110.0,620209.0,170992.0,222765.0,1399561.0,0.0,111961.0,1317734.0,607816.0,432182.0,707056.0,140146.0,1595745.0,0.0,74586.0,1018177.0,570874.0,309390.0,363240.0,787318.0,1789055.0
Kerie,augmented_images_Kerie\Kerie_neutral_flipped.jpg,Kerie_neutral_flipped.jpg,0.6352368583897864,128.81633704077643,50.553972808113684,488928.0,1411017.0,907980.0,363087.0,147647.0,274730.0,1017178.0,302073.0,247990.0,1426241.0,459245.0,454875.0,640303.0,140573.0,648509.0,894904.0,167149.0,1193733.0,390937.0,296445.0,464744.0,697686.0,820396.0,881550.0
Kerie,augmented_images_Kerie\Kerie_neutral_gray.jpg,Kerie_neutral_gray.jpg,0.6245440333507035,128.81290019215737,50.102853249109494,219714.0,1366713.0,435223.0,430685.0,725575.0,194039.0,675109.0,865582.0,219714.0,1366713.0,435223.0,430685.0,725575.0,194039.0,675109.0,865582.0,219714.0,1366713.0,435223.0,430685.0,725575.0,194039.0,675109.0,865582.0
Kerie,augmented_images_Kerie\Kerie_neutral_rotated.jpg,Kerie_neutral_rotated.jpg,0.6688725410369984,112.41163875227983,57.71798566392548,935031.0,1304585.0,895342.0,359213.0,124944.0,213703.0,912075.0,167747.0,716897.0,1295081.0,444764.0,454233.0,641037.0,101426.0,593428.0,665774.0,649660.0,1053584.0,372849.0,296133.0,464655.0,689270.0,735668.0,650821.0
Kerie,augmented_images_Kerie\Kerie_smiling_blur.jpg,Kerie_smiling_blur.jpg,0.15847181963262116,127.57410211210265,2.89332273474621,620553.0,1277912.0,900953.0,269105.0,151718.0,397497.0,1197505.0,97397.0,282366.0,1363415.0,436348.0,558477.0,466098.0,275498.0,876969.0,653469.0,185742.0,1166453.0,352942.0,285514.0,740746.0,490370.0,787007.0,903866.0
Kerie,augmented_images_Kerie\Kerie_smiling_bright.jpg,Kerie_smiling_bright.jpg,0.44982534848879624,165.11817943101875,34.79476167590761,45.0,331186.0,1352369.0,907458.0,427535.0,157572.0,320236.0,1416239.0,0.0,115880.0,1368541.0,483375.0,497230.0,611145.0,184016.0,1652453.0,0.0,77490.0,1104578.0,456601.0,265867.0,513355.0,653321.0,1841428.0
Kerie,augmented_images_Kerie\Kerie_smiling_flipped.jpg,Kerie_smiling_flipped.jpg,0.45491222642001045,127.57917657308494,35.98253769864731,635067.0,1256519.0,904752.0,270563.0,152620.0,396095.0,1193804.0,103220.0,319148.0,1321692.0,441058.0,563587.0,460247.0,275524.0,876583.0,654801.0,208648.0,1135926.0,360416.0,286147.0,724357.0,505735.0,789282.0,902129.0
Kerie,augmented_images_Kerie\Kerie_smiling_gray.jpg,Kerie_smiling_gray.jpg,0.45506794717300675,127.57434169815008,35.96170511121953,282856.0,1294541.0,373943.0,561978.0,568483.0,310392.0,904996.0,615451.0,282856.0,1294541.0,373943.0,561978.0,568483.0,310392.0,904996.0,615451.0,282856.0,1294541.0,373943.0,561978.0,568483.0,310392.0,904996.0,615451.0
Kerie,augmented_images_Kerie\Kerie_smiling_rotated.jpg,Kerie_smiling_rotated.jpg,0.5345374381188119,111.18021552566441,48.8997693525111,1081529.0,1154110.0,901501.0,268876.0,102636.0,353621.0,1042529.0,7838.0,783293.0,1202541.0,435963.0,561371.0,461554.0,194985.0,780267.0,492666.0,681682.0,1011010.0,352966.0,285529.0,727644.0,447520.0,739631.0,666658.0
Kerie,augmented_images_Kerie\Kerie_suprised_blur.jpg,Kerie_suprised_blur.jpg,0.18058416655810317,133.20884351387443,2.9627967852957355,458936.0,1373420.0,816215.0,487071.0,126632.0,306894.0,1014239.0,329233.0,189678.0,1368093.0,469793.0,412870.0,723778.0,132320.0,662619.0,953489.0,73239.0,1167823.0,351463.0,326882.0,397398.0,851775.0,754662.0,989398.0
Kerie,augmented_images_Kerie\Kerie_suprised_bright.jpg,Kerie_suprised_bright.jpg,0.6027431279312142,169.59590342463522,34.45300713912255,115.0,279855.0,1313112.0,771266.0,730830.0,136715.0,238484.0,1442263.0,0.0,72758.0,1273802.0,581240.0,440411.0,586077.0,298820.0,1659532.0,0.0,27231.0,966708.0,515576.0,331881.0,334560.0,902869.0,1833815.0
Kerie,augmented_images_Kerie\Kerie_suprised_flipped.jpg,Kerie_suprised_flipped.jpg,0.6242844987623762,133.2134406347707,36.52027117785798,472118.0,1352132.0,827910.0,482648.0,126081.0,305524.0,1016279.0,329948.0,198428.0,1354618.0,476557.0,410896.0,721502.0,134000.0,671540.0,945099.0,84867.0,1143791.0,365829.0,323743.0,396090.0,851276.0,756820.0,990224.0
Kerie,augmented_images_Kerie\Kerie_suprised_gray.jpg,Kerie_suprised_gray.jpg,0.6108406070870245,133.2087718619724,36.561557533214454,162624.0,1297563.0,444025.0,437332.0,780656.0,176521.0,681293.0,932626.0,162624.0,1297563.0,444025.0,437332.0,780656.0,176521.0,681293.0,932626.0,162624.0,1297563.0,444025.0,437332.0,780656.0,176521.0,681293.0,932626.0
Kerie,augmented_images_Kerie\Kerie_suprised_rotated.jpg,Kerie_suprised_rotated.jpg,0.6888047974205316,116.33514770062533,51.967200417592984,949549.0,1217970.0,819050.0,481457.0,111379.0,233756.0,902901.0,196578.0,694665.0,1201765.0,467658.0,411166.0,721623.0,110606.0,577761.0,727396.0,587666.0,990507.0,351821.0,323719.0,396798.0,847490.0,663370.0,751269.0
